,User_ID,User_Name,Text,Location,Followers_Count,Friends_Count,Statuses_Count,Favourites_Count,Listed_Count,Retweet_Count,Created_at,verified,Label
714,1.567071119890387e+18,Zohar Fisher,"#LexisNexis SA CEO named leading woman in #African #tech
https://t.co/KF9GBDCagR","Tel-Aviv, Israel",2213.0,2721.0,28690.0,16232.0,1500.0,0.0,Mon Dec 09 16:53:19 +0000 2013,0.0,WomanInTech
715,1.5670709543957668e+18,méline,"If you are a woman in tech residing in Nigeria, you can apply here to win a free laptop #100Devs #blackwomenintech… https://t.co/QAWoAKTb5u","munich, germany",2795.0,1608.0,1980.0,5423.0,19.0,1.0,Sat Nov 06 22:33:31 +0000 2021,0.0,WomanInTech
716,1.5670701765745705e+18,ITWeb Client Connect,"@LexisNexis  SA CEO named leading woman in African tech
https://t.co/aFMJc3BYSS",Rivonia Boulevard,552.0,202.0,10600.0,11.0,16.0,1.0,Tue Apr 23 09:58:35 +0000 2013,0.0,WomanInTech
717,1.5670666407637402e+18,the.sunshine.oluoha,"I just learnt how to screenshot on my laptop
It’s actually well😂 o after all these years😭😭😭
Woman in tech indeed","Lagos, Nigeria",72.0,68.0,713.0,1676.0,0.0,0.0,Fri Mar 27 19:35:06 +0000 2020,0.0,WomanInTech
718,1.5670609501586473e+18,Jessica Dede Addy,@Nonso_Analytics @DavidAbu_ @saltypip @Richie4love @jessica_xls @Alexa_Ighodaro @PauloDaguvnor Hi @hertechtrail. I’… https://t.co/5lrVKf3sCZ,"Greater Accra, Ghana",1809.0,349.0,955.0,2267.0,13.0,0.0,Tue May 19 19:14:53 +0000 2020,0.0,WomanInTech
719,1.5670604885671117e+18,Mavin Global,"Voting open: Who should be the 2022 Most Influential Woman in UK #Tech? 
#womenintech Via @ComputerWeekly https://t.co/Z5yi6BN2Vr","Wootton Wawen, England",303.0,809.0,1253.0,1220.0,4.0,0.0,Thu Feb 04 14:44:16 +0000 2016,0.0,WomanInTech
720,1.5670447874668134e+18,Boluwatife Faith (Favoured Child),I am a wise hearted woman in tech 🥰,Earth,722.0,737.0,9978.0,14486.0,1.0,0.0,Thu Aug 11 15:45:41 +0000 2011,0.0,WomanInTech
721,1.5670447592936817e+18,✧ 𝔶𝔞𝔩𝔦 ✧,@spicyybongwater bro you really gotta do backflips just to deal w sims it’s such a headache but well worth it in th… https://t.co/9hR17TxVAa,o-town,1515.0,292.0,33235.0,118204.0,0.0,0.0,Wed Apr 20 12:58:16 +0000 2011,0.0,WomanInTech
722,1.567040724872446e+18,Tuduetso Madi,Don’t know who else needs to see this but this might just save your life(your misplaced iwatch if we are being less… https://t.co/yImL2z1pI4,Botswana,1359.0,608.0,15803.0,19188.0,28.0,0.0,Mon Apr 20 07:15:29 +0000 2015,0.0,WomanInTech
723,1.5670403614401905e+18,Gavin W H Anderson,"#Johnson lying to the end: crime is up 16%, there is not 1 new hospital, China gets more VC money than the UK, Isra… https://t.co/Fz4BAuDcAZ",UK,3357.0,2264.0,16712.0,35739.0,89.0,1.0,Thu May 13 21:57:59 +0000 2010,0.0,WomanInTech
724,1.5670341346773197e+18,kat ⚢,oh your boyfriend works in tech? that’s cool my boyfriend is a beautiful woman,any pronouns + 20,777.0,424.0,10014.0,58300.0,2.0,4.0,Thu Jun 13 23:04:06 +0000 2019,0.0,WomanInTech
725,1.5670189650707456e+18,David (feat. CJ),@jamievaron Lol Chris Pine ain't in any group chat. They set Wonder Woman during World War I because that's the mos… https://t.co/hkMMifAAbb,France,175.0,252.0,400.0,62452.0,8.0,3.0,Fri Apr 18 19:23:02 +0000 2008,0.0,WomanInTech
726,1.5670185235657236e+18,Freelance Scanner,&lt;p&gt;A woman has been widely praised for a kind note she left for the driver of a car she accidentally scraped with h… https://t.co/Ahoy3lQqMW,"Karachi, Pakistan",1167.0,90.0,248394.0,908.0,10.0,1.0,Fri Dec 14 17:21:43 +0000 2012,0.0,WomanInTech
727,1.5670185226975068e+18,HATINC 🇵🇸,&lt;p&gt;A woman has been widely praised for a kind note she left for the driver of a car she accidentally scraped with h… https://t.co/xRHr0NN6RW,Karachi,446.0,503.0,52346.0,652.0,3.0,1.0,Sun Jul 17 10:19:06 +0000 2016,0.0,WomanInTech
728,1.5670151048558223e+18,EARTHBOUND420🌍BIDEN WON! TFG Sucked! #NeverAgain,"@Margybklyn1954 @Ordainedprophet I hear ya woman, same here, I've tried, been separated for a few yrs but it would… https://t.co/yZuB11dApi",Planet Earth🌍🐾VEGAS STRONG,57392.0,53274.0,302344.0,493432.0,46.0,0.0,Mon Aug 06 01:44:42 +0000 2018,0.0,WomanInTech
729,1.5670135014698598e+18,Dovetail,"Calling all Wellington womxn in tech! 📣

Join us on 20 Sept. for an in-person workshop, run by Engineering Manager,… https://t.co/wstottl6Su",Australia + Aotearoa (NZ),117.0,59.0,94.0,44.0,1.0,1.0,Thu Aug 20 18:27:59 +0000 2015,0.0,WomanInTech
730,1.566979682805117e+18,azula♡̷̷⁷,"A success story. As a POC and a woman who works in tech, I appreciate and respect this book. https://t.co/5WCEKSDq84",Philippines,149.0,265.0,9240.0,3384.0,0.0,0.0,Sun Mar 08 05:14:04 +0000 2015,0.0,WomanInTech
